,state,state_name,state_abbrev,state_population,state_swing,death_proportion,state_pop_density,hospitals_per_head,median_salary,race pop,population,perc_of_pop_race
229,New Hampshire,New Hampshire,N.H.,1372203,3.0,0.029150205909766996,153.2674,2.043970365930724e-05,"50,000.00",pacific_pop,667,0.0004860796835453646
230,New Jersey,New Jersey,N.J.,8874520,3.0,0.12725195278167156,1206.7609,8.689756384541991e-06,"56,000.00",pacific_pop,2714,0.00030581935699057526
231,New Mexico,New Mexico,N.M.,2105005,3.0,0.10403775763002938,17.354,2.4600004527362397e-05,"38,480.00",pacific_pop,629,0.000298811641777573
232,Nevada,Nevada,Nev.,3185786,3.0,0.1585166109713584,29.0195,1.7400414335226366e-05,"45,000.00",pacific_pop,20153,0.006325911407734229
233,New York,New York,N.Y.,19299981,3.0,0.3489744368142124,409.54,9.034072609650523e-06,"50,000.00",pacific_pop,3725,0.0001930053713524381
234,Ohio,Ohio,Ohio,11714618,0.0,0.0864304751550584,286.6944,1.6288879749548327e-05,"46,002.00",pacific_pop,4296,0.00036672130495420336
235,Oklahoma,Oklahoma,Okla.,3990443,0.0,0.12221700698393637,58.174,3.4856764891466056e-05,"45,000.00",pacific_pop,3543,0.0008878713466148997
236,Oregon,Oregon,Ore.,4289439,3.0,0.2817384744252104,44.6872,1.3129723708897647e-05,"45,000.00",pacific_pop,13164,0.003068932790511766
237,Pennsylvania,Pennsylvania,Pa.,12804123,1.0,0.12648269623776653,286.1704,1.583562204503846e-05,"49,088.00",pacific_pop,2595,0.00020266909338499794
238,Rhode Island,Rhode Island,R.I.,1061509,3.0,0.11822791893427187,1026.6044,1.2618726685303823e-05,"50,000.00",pacific_pop,250,0.00023551378273759338
239,South Carolina,South Carolina,S.C.,5277830,0.0,0.12993976691178002,175.5707,1.442214831830952e-05,"45,000.00",pacific_pop,7376,0.0013975440664060798
